"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 14일","4,072.79","3,717.66","4,111.94","3,717.66","106.07K","9.55%"
"2021년 05월 13일","3,717.66","3,816.58","3,925.90","3,717.66","225.05K","-2.72%"
"2021년 05월 12일","3,821.67","4,173.86","4,352.11","3,821.67","130.89K","-8.44%"
"2021년 05월 11일","4,173.78","3,947.65","4,173.78","3,907.23","98.00K","5.66%"
"2021년 05월 10일","3,950.03","3,923.75","4,128.97","3,923.75","107.03K","0.71%"
"2021년 05월 09일","3,922.13","3,907.53","3,956.62","3,906.80","78.60K","0.37%"
"2021년 05월 08일","3,907.53","3,478.99","3,907.53","3,478.99","69.92K","12.32%"
"2021년 05월 07일","3,478.99","3,489.60","3,523.74","3,384.23","70.41K","-0.26%"
"2021년 05월 06일","3,488.07","3,524.00","3,524.00","3,461.01","76.65K","-1.03%"
"2021년 05월 05일","3,524.26","3,267.94","3,524.26","3,267.94","122.89K","9.00%"
"2021년 05월 04일","3,233.36","3,430.50","3,453.21","3,233.36","157.73K","-5.67%"
"2021년 05월 03일","3,427.54","2,952.01","3,427.54","2,952.01","85.44K","16.11%"
"2021년 05월 02일","2,952.01","2,944.09","2,952.01","2,912.03","49.94K","0.27%"
"2021년 05월 01일","2,944.09","2,772.18","2,944.09","2,772.18","55.50K","6.21%"
"2021년 04월 30일","2,771.94","2,755.60","2,771.94","2,734.70","59.04K","0.59%"
"2021년 04월 29일","2,755.61","2,747.14","2,755.61","2,716.59","80.69K","0.30%"
"2021년 04월 28일","2,747.41","2,664.91","2,747.41","2,659.98","118.76K","3.16%"
"2021년 04월 27일","2,663.30","2,532.25","2,663.30","2,532.25","92.01K","5.14%"
"2021년 04월 26일","2,533.18","2,319.16","2,533.18","2,319.16","150.16K","9.23%"
"2021년 04월 25일","2,319.16","2,215.03","2,319.16","2,215.03","161.52K","4.84%"
"2021년 04월 24일","2,212.13","2,367.72","2,367.72","2,212.13","194.30K","-6.57%"
"2021년 04월 23일","2,367.57","2,399.62","2,399.62","2,293.80","377.15K","-1.43%"
"2021년 04월 22일","2,401.94","2,357.29","2,583.38","2,357.29","270.78K","1.89%"
"2021년 04월 21일","2,357.29","2,330.22","2,426.31","2,307.00","169.59K","1.16%"
"2021년 04월 20일","2,330.22","2,161.03","2,330.22","2,139.04","198.46K","7.89%"
"2021년 04월 19일","2,159.74","2,235.98","2,262.50","2,124.61","136.33K","-3.47%"
"2021년 04월 18일","2,237.31","2,316.56","2,316.56","2,138.98","265.20K","-3.40%"
"2021년 04월 17일","2,315.96","2,422.08","2,422.08","2,315.96","72.13K","-4.38%"
"2021년 04월 16일","2,422.01","2,514.45","2,514.45","2,422.01","123.53K","-3.67%"
"2021년 04월 15일","2,514.30","2,432.88","2,514.30","2,432.88","69.22K","3.35%"
"2021년 04월 14일","2,432.88","2,299.47","2,432.88","2,299.47","115.17K","5.80%"
"2021년 04월 13일","2,299.40","2,136.59","2,299.40","2,136.59","77.78K","7.62%"
"2021년 04월 12일","2,136.59","2,144.55","2,144.86","2,136.59","60.88K","-0.33%"
"2021년 04월 11일","2,143.63","2,126.89","2,143.63","2,126.89","23.81K","0.86%"
