"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 07월 12일","33,113.0","34,228.3","34,598.0","32,662.8","63.24K","-3.26%"
"2021년 07월 11일","34,227.7","33,510.8","34,580.6","33,319.8","35.72K","2.14%"
"2021년 07월 10일","33,510.6","33,797.7","34,221.0","33,056.8","50.94K","-0.85%"
"2021년 07월 09일","33,797.4","32,866.3","34,079.2","32,367.0","67.14K","2.83%"
"2021년 07월 08일","32,866.3","33,859.4","33,923.2","32,146.9","108.09K","-2.96%"
"2021년 07월 07일","33,867.8","34,228.7","35,036.6","33,801.3","72.03K","-1.05%"
"2021년 07월 06일","34,225.6","33,688.5","35,062.0","33,581.7","83.63K","1.60%"
"2021년 07월 05일","33,687.8","35,297.0","35,300.5","33,164.1","88.36K","-4.56%"
"2021년 07월 04일","35,298.2","34,742.8","35,957.6","34,740.1","56.13K","1.60%"
"2021년 07월 03일","34,742.8","33,814.2","34,909.8","33,363.3","55.69K","2.75%"
"2021년 07월 02일","33,813.4","33,542.2","33,925.9","32,734.6","78.93K","0.80%"
"2021년 07월 01일","33,543.6","35,030.7","35,032.7","32,839.2","27.41K","-4.23%"
"2021년 06월 30일","35,026.9","35,832.6","36,089.5","34,126.6","107.07K","-2.25%"
"2021년 06월 29일","35,834.7","34,477.3","36,590.3","34,247.6","97.27K","3.94%"
"2021년 06월 28일","34,475.9","34,682.2","35,231.2","33,944.9","112.00K","-0.58%"
"2021년 06월 27일","34,678.5","32,247.1","34,685.5","32,041.7","148.80K","7.55%"
"2021년 06월 26일","32,243.4","31,592.1","32,643.0","30,206.9","156.67K","2.06%"
"2021년 06월 25일","31,594.0","34,660.5","35,490.9","31,337.9","193.43K","-8.86%"
"2021년 06월 24일","34,665.8","33,678.1","35,249.9","32,356.7","119.25K","2.94%"
"2021년 06월 23일","33,674.3","32,498.3","34,784.3","31,736.5","173.34K","3.62%"
"2021년 06월 22일","32,496.4","31,682.7","33,272.5","28,901.8","309.65K","2.54%"
"2021년 06월 21일","31,692.0","35,597.9","35,708.4","31,284.1","256.87K","-10.97%"
"2021년 06월 20일","35,595.8","35,510.9","36,097.9","33,378.0","137.48K","0.23%"
"2021년 06월 19일","35,513.4","35,770.0","36,357.3","34,845.5","105.46K","-0.66%"
"2021년 06월 18일","35,749.4","38,045.5","38,166.0","35,198.5","102.84K","-6.05%"
"2021년 06월 17일","38,052.0","38,337.8","39,529.9","37,425.3","109.58K","-0.74%"
"2021년 06월 16일","38,336.0","40,148.1","40,494.4","38,156.4","123.52K","-4.53%"
"2021년 06월 15일","40,156.1","40,522.5","41,318.0","39,589.9","117.55K","-0.92%"
"2021년 06월 14일","40,529.4","39,024.1","40,970.4","38,769.9","157.35K","3.86%"
"2021년 06월 13일","39,022.9","35,467.5","39,321.6","34,827.0","123.32K","10.02%"
"2021년 06월 12일","35,467.5","37,334.4","37,437.3","34,703.3","87.73K","-4.95%"
"2021년 06월 11일","37,314.6","36,654.3","37,641.1","36,003.3","109.15K","1.81%"
"2021년 06월 10일","36,649.4","37,375.2","38,340.8","35,824.0","154.32K","-1.83%"
"2021년 06월 09일","37,332.2","33,385.5","37,517.6","32,428.6","209.82K","11.83%"
"2021년 06월 08일","33,382.9","33,574.6","34,047.8","31,158.1","193.54K","-0.58%"
"2021년 06월 07일","33,578.0","35,815.4","36,754.6","33,410.1","119.50K","-6.25%"
"2021년 06월 06일","35,815.4","35,518.7","36,434.0","35,265.3","62.20K","0.83%"
"2021년 06월 05일","35,520.0","36,841.2","37,887.6","34,832.0","101.48K","-3.61%"
"2021년 06월 04일","36,851.3","39,191.4","39,255.4","35,659.9","127.71K","-5.96%"
"2021년 06월 03일","39,187.3","37,555.7","39,462.3","37,193.6","106.44K","4.34%"
"2021년 06월 02일","37,555.8","36,687.7","38,199.9","35,981.1","96.89K","2.37%"
"2021년 06월 01일","36,687.6","37,294.3","37,850.3","35,742.7","113.48K","-1.64%"
"2021년 05월 31일","37,298.6","35,644.0","37,480.7","34,213.2","131.70K","4.62%"
"2021년 05월 30일","35,652.8","34,589.3","36,388.6","33,441.0","104.18K","3.09%"
"2021년 05월 29일","34,584.6","35,664.5","37,227.1","33,664.2","160.43K","-3.02%"
"2021년 05월 28일","35,662.5","38,543.2","38,844.1","34,772.4","199.58K","-7.17%"
"2021년 05월 27일","38,417.3","39,249.0","40,322.2","37,190.8","122.93K","-2.12%"
"2021년 05월 26일","39,249.2","38,375.7","40,750.0","37,847.0","153.80K","2.27%"
"2021년 05월 25일","38,378.3","38,753.6","39,740.8","36,540.7","163.01K","-0.96%"
"2021년 05월 24일","38,750.6","34,720.3","39,851.7","34,474.6","244.88K","11.74%"
"2021년 05월 23일","34,679.7","37,446.8","38,248.7","31,192.4","325.73K","-7.39%"
"2021년 05월 22일","37,448.3","37,291.0","38,776.0","35,314.9","185.83K","0.40%"
"2021년 05월 21일","37,297.4","40,611.2","42,108.3","33,592.3","315.50K","-8.40%"
"2021년 05월 20일","40,717.2","36,706.8","42,425.9","35,010.4","269.75K","10.88%"
"2021년 05월 19일","36,720.5","42,898.3","43,516.6","30,261.7","607.10K","-14.40%"
"2021년 05월 18일","42,897.3","43,538.5","45,770.9","42,293.9","154.96K","-1.48%"
"2021년 05월 17일","43,541.3","46,424.2","46,545.4","42,201.5","274.76K","-6.21%"
"2021년 05월 16일","46,426.4","46,729.3","49,764.3","43,920.8","180.07K","-0.60%"
"2021년 05월 15일","46,708.8","49,839.1","50,640.9","46,650.2","131.91K","-6.28%"
"2021년 05월 14일","49,839.8","49,704.9","51,459.2","48,874.0","118.84K","0.27%"
"2021년 05월 13일","49,704.6","49,398.2","51,337.3","46,331.1","236.71K","0.65%"
"2021년 05월 12일","49,384.2","56,694.5","57,938.5","49,187.0","160.74K","-12.90%"
